model,size,activities,is_sound,alignments_fitness,alignments_precision
ILP_Miner_0_BPI_Challenge_2020_Prepaid_Travel_Costs_440326.xes.pnml,819,29,False,0.9997022046743976,0.21711495291026905
ILP_Miner_0_BPI_Challenge_2020_Request_For_Payment_230225.xes.pnml,373,19,False,0.9999626319049013,0.17794697928538294
ILP_Miner_0_BPI_Challenge_2020_Domestic_Declarations_240917.xes.pnml,254,17,False,0.9999630523021055,0.1880931262240353
ILP_Miner_0_BPI_Challenge_2020_Request_For_Payment_178181.xes.pnml,328,17,False,0.9996927055625047,0.19838665791706012
ILP_Miner_0_BPI_Challenge_2020_International_Declarations_240917.xes.pnml,1103,34,False,0.9999848842219282,0.11167202810043086
ILP_Miner_0_BPI_Challenge_2020_Prepaid_Travel_Costs_260921.xes.pnml,788,29,False,0.9996995635356605,0.22045087035099398
ILP_Miner_0_BPI_Challenge_2013_Incidents_260921.xes.pnml,39,4,True,0.9999762127824698,0.6257305479681992
ILP_Miner_0_BPI_Challenge_2020_Travel_Permit_Data_240917.xes.pnml,2748,51,False,0.9996888767356725,0.12436588678687732
ILP_Miner_0_BPI_Challenge_2020_International_Declarations_260921.xes.pnml,1056,34,False,0.9997514049589865,0.11388106897480965
ILP_Miner_0_BPI_Challenge_2013_Incidents_440326.xes.pnml,39,4,True,0.9999766682404924,0.6257305479681992
ILP_Miner_0_BPI_Challenge_2020_Domestic_Declarations_260921.xes.pnml,247,17,False,0.9999627078372144,0.1880931262240353
ILP_Miner_0_BPI_Challenge_2013_closed_problems_230225.xes.pnml,44,4,True,0.9999587560263951,0.7923798798798799
ILP_Miner_0_BPI_Challenge_2013_closed_problems_178181.xes.pnml,39,4,True,0.9999547476818816,0.7923798798798799
ILP_Miner_0_Sepsis_Cases_-_Event_Log_230225.xes.pnml,282,16,True,0.9999870332030273,0.19811033775102038
ILP_Miner_0_BPI_Challenge_2012_178181.xes.pnml,295,24,False,0.9999955372409927,0.1130699552319071
ILP_Miner_0_Sepsis_Cases_-_Event_Log_178181.xes.pnml,303,16,True,0.9999868956475453,0.19811033775102038
ILP_Miner_0_BPI_Challenge_2012_230225.xes.pnml,293,24,False,0.9999784035472897,0.113299980479588
ILP_Miner_0_BPI_Challenge_2013_Incidents_240917.xes.pnml,39,4,True,0.9999766610328263,0.6257305479681992
ILP_Miner_0_BPI_Challenge_2020_Prepaid_Travel_Costs_240917.xes.pnml,760,29,False,0.9991594632338753,0.21655163632686847
ILP_Miner_0_BPI_Challenge_2020_Domestic_Declarations_440326.xes.pnml,253,16,False,0.999874296458524,0.18837266992699697
ILP_Miner_0_BPI_Challenge_2013_closed_problems_440326.xes.pnml,44,4,True,0.9999584396631772,0.7923798798798799
ILP_Miner_0_BPI_Challenge_2020_International_Declarations_440326.xes.pnml,1171,34,False,0.9999263045702063,0.14477108362222635
ILP_Miner_0_BPI_Challenge_2020_Travel_Permit_Data_440326.xes.pnml,2679,51,False,0.9994025473703723,0.08448014850054875
ILP_Miner_0_Sepsis_Cases_-_Event_Log_260921.xes.pnml,313,16,True,0.9993965795932793,0.23368915433981885
ILP_Miner_0_Sepsis_Cases_-_Event_Log_440326.xes.pnml,289,16,True,0.9999855174511265,0.19811033775102038
ILP_Miner_0_BPI_Challenge_2020_Travel_Permit_Data_260921.xes.pnml,2969,51,False,0.9997355961119445,0.08400280080748301
ILP_Miner_0_BPI_Challenge_2020_Domestic_Declarations_178181.xes.pnml,254,17,False,0.9999625815855073,0.1880931262240353
ILP_Miner_0_BPI_Challenge_2013_closed_problems_260921.xes.pnml,37,4,True,0.9999592912747541,0.7923798798798799
ILP_Miner_0_BPI_Challenge_2020_Travel_Permit_Data_230225.xes.pnml,3139,51,False,0.9996320856811451,0.115060116760066
ILP_Miner_0_BPI_Challenge_2020_International_Declarations_178181.xes.pnml,1081,34,False,0.9999264467623654,0.14539658214022033
ILP_Miner_0_BPI_Challenge_2020_Travel_Permit_Data_178181.xes.pnml,2577,51,False,0.9995484080574013,0.08423787172386743
ILP_Miner_0_BPI_Challenge_2020_Request_For_Payment_240917.xes.pnml,346,17,False,0.9996923316378313,0.19838665791706012
ILP_Miner_0_BPI_Challenge_2020_Domestic_Declarations_230225.xes.pnml,239,16,True,0.9998740958396655,0.1998624426290514
ILP_Miner_0_BPI_Challenge_2020_Prepaid_Travel_Costs_230225.xes.pnml,755,29,False,0.9983485718566678,0.22495366837457753
ILP_Miner_0_BPI_Challenge_2012_240917.xes.pnml,282,24,False,0.9999780397116016,0.113299980479588
ILP_Miner_0_Sepsis_Cases_-_Event_Log_240917.xes.pnml,303,16,True,0.9999873381163097,0.19811033775102038
ILP_Miner_0_BPI_Challenge_2020_International_Declarations_230225.xes.pnml,957,33,False,0.9997490312831504,0.11149746905363433
ILP_Miner_0_BPI_Challenge_2020_Request_For_Payment_440326.xes.pnml,364,19,False,0.9999628033812105,0.17794697928538294
ILP_Miner_0_BPI_Challenge_2020_Prepaid_Travel_Costs_178181.xes.pnml,798,29,False,0.999704960474502,0.21341074790284376
ILP_Miner_0_BPI_Challenge_2020_Request_For_Payment_260921.xes.pnml,354,18,False,0.9998269968370639,0.18786014451129185
ILP_Miner_0_BPI_Challenge_2013_closed_problems_240917.xes.pnml,44,4,True,0.9999574303836779,0.7923798798798799
ILP_Miner_0_BPI_Challenge_2013_Incidents_178181.xes.pnml,39,4,True,0.9999777077852395,0.6257305479681992
ILP_Miner_0_BPI_Challenge_2013_Incidents_230225.xes.pnml,39,4,True,0.9999762837205353,0.6257305479681992
ILP_Miner_0_BPI_Challenge_2012_260921.xes.pnml,291,24,False,0.9999954273347619,0.1130699552319071
ILP_Miner_0_BPI_Challenge_2012_440326.xes.pnml,319,24,False,0.9999954923669502,0.11302816316139863
ILP_Miner_0_BPI_Challenge_2017_440326.xes.pnml,621,26,False,0.9999975527033812,0.13116077069835763
ILP_Miner_0_BPI_Challenge_2017_260921.xes.pnml,602,25,False,0.9999123148093613,0.1374965203478613
ILP_Miner_0_BPI_Challenge_2017_240917.xes.pnml,610,26,False,0.999997573826868,0.13116077069835763
ILP_Miner_0_BPI_Challenge_2017_230225.xes.pnml,623,26,False,0.9999975770450295,0.13116077069835763
ILP_Miner_0_BPI_Challenge_2017_178181.xes.pnml,643,26,False,0.9999975422139975,0.13116077069835763
